m,tempo_medio
10,0.00659047500230372
11,0.004457658203318715
12,0.0035956918029114602
14,0.003271958394907415
15,0.00348485839786008
17,0.0034247081959620116
20,0.0032659415970556437
22,0.0032067416002973916
25,0.003136675001587719
28,0.0031032000086270274
31,0.003348716802429408
35,0.0032889331923797727
40,0.0032229249947704373
45,0.003156941803172231
50,0.0031144084059633315
57,0.00305811659200117
64,0.003324516606517136
72,0.0032711582025513053
81,0.0032864084001630544
91,0.0033034166088327767
102,0.003153641801327467
114,0.0031068916083313524
129,0.0033457415993325412
145,0.003312525001820177
162,0.003212441597133875
183,0.003179591801017523
205,0.003107166604604572
231,0.003062166797462851
259,0.0034404999925754963
291,0.0034746750025078654
327,0.0034320665989071132
367,0.0034450249979272483
413,0.003398991597350687
464,0.003354916605167091
521,0.0036539249937050044
585,0.00361255839234218
657,0.003572291601449251
739,0.0035368082113564014
830,0.003477541799657047
932,0.0034221833921037614
1047,0.0036923834006302057
1176,0.0036546000046655536
1321,0.0035957999993115664
1484,0.00353944159578532
1668,0.0035081500071100892
1873,0.003443916596006602
2104,0.0037651750026270747
2364,0.003719183406792581
2656,0.0036791916005313396
2983,0.0036141499993391337
3351,0.0035997583996504544
3764,0.003622949996497482
4229,0.00392263320973143
4750,0.0038958000019192695
5336,0.0038453749963082372
5994,0.003825958410743624
6734,0.0038104750099591913
7564,0.0038239081972278655
8497,0.0041795165976509455
9545,0.004189374996349216
10722,0.0041755334008485075
12045,0.004202349996194244
13530,0.004232200002297759
15199,0.004263433406595141
17073,0.004663899994920939
19179,0.004749999998603016
21544,0.004848566593136638
24201,0.004916883399710059
27185,0.0051281915977597235
30538,0.005203233403153718
34304,0.005664091801736504
38535,0.00581676660804078
43287,0.00602530000032857
48626,0.006432574999053031
54622,0.0066473249928094445
61359,0.0070344915962778035
68926,0.007944066601339728
77426,0.008821274992078543
86974,0.008765608200337737
97700,0.009251691598910839
109749,0.009935924992896616
123284,0.010548124997876584
138488,0.011839558405335992
155567,0.013196100003551692
174752,0.014155558391939849
196304,0.015283066593110562
220513,0.016425525001250208
247707,0.017845683393534272
278255,0.02010949159739539
312571,0.02233448320766911
351119,0.025486250000540167
394420,0.027254133392125367
443062,0.031392141804099084
497702,0.035668583202641456
559081,0.039640866802074015
628029,0.04372614999301731
705480,0.04843940839637071
792482,0.055137791589368136
890215,0.061105225002393126
999999,0.06938715840224177
