n,tempo_medio
100,7.421658374369144e-05
109,7.472499273717404e-05
120,8.400001097470522e-05
132,9.09165944904089e-05
145,0.00010195840150117874
159,0.00011235000565648078
174,0.00012351679615676403
191,0.0001450834097340703
210,0.0001628916012123227
231,0.00018445840105414392
253,0.0002027834067121148
278,0.00021723338868469
305,0.00023248319048434495
335,0.00027620838955044746
367,0.00029681660234928133
403,0.0003220918122678995
443,0.00036873340141028164
486,0.00041057500056922435
533,0.00046469999942928554
585,0.0005115250125527382
642,0.000577175011858344
705,0.0006359417922794819
774,0.0007279249839484692
849,0.0007787500042468309
932,0.0008959331782534719
1023,0.0009660833980888128
1123,0.0011092583881691098
1232,0.0011942083947360516
1353,0.001321141584776342
1484,0.0014608082128688693
1629,0.0016362416092306376
1788,0.0017875249963253737
1963,0.002008150005713105
2154,0.0021904916036874058
2364,0.0024402499897405506
2595,0.002725891605950892
2848,0.002999749989248812
3125,0.003334416798315942
3430,0.0036694665905088186
3764,0.004129691584967077
4132,0.00454060819465667
4534,0.005227124993689358
4977,0.005700233415700496
5462,0.0067200665827840565
5994,0.006997149996459484
6579,0.007523033418692648
7220,0.008319816808216274
7924,0.00937962499447167
8697,0.010368775017559529
9545,0.011568483407609164
10476,0.012590775010176003
11497,0.014349166606552898
12618,0.015435916790738701
13848,0.01713115000165999
15199,0.01877284999936819
16681,0.020693341619335115
18307,0.02309121659491211
20092,0.025844674999825658
22051,0.027805866580456494
24201,0.03162542500067502
26560,0.0351151583949104
29150,0.038486199988983574
31992,0.04200454158708453
35111,0.04574351659975946
38535,0.052124266605824233
42292,0.05609627501107752
46415,0.061468724999576806
50941,0.06981250839307904
55908,0.07671870840713382
61359,0.0838388165924698
67341,0.09303414160385728
73907,0.10174733339808881
81113,0.11368210839573294
89021,0.13522495839279144
97700,0.13759774998761715
107226,0.15429996659513562
117681,0.17002194179221988
129154,0.18276287498883903
141747,0.2007947500096634
155567,0.2235710500041023
170735,0.24322884159628302
187381,0.2763178166002035
205651,0.2945460750022903
225701,0.3281798667972907
247707,0.36638467500451954
271858,0.38980310820043085
298364,0.44032594179734585
327454,0.48193036660086364
359381,0.5430372749920934
394420,0.5988982999930158
432876,0.6420280750142411
475081,0.7197959915967658
521400,0.7855890916194767
572236,0.8608219166053459
628029,0.9478063082089647
689261,1.0559723999816923
756463,1.1404837165959179
830217,1.254179450008087
911162,1.4055360666010528
1000000,1.5462179166032002
